route_id,direction_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,shape_id
107,0,UTEIS,107_0_U_29,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_30,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_31,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_32,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_33,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_34,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_35,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_36,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_37,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_38,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_39,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_40,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_41,Areias,1,,107_0_1_shp
107,0,UTEIS,107_0_U_42,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_43,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_44,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_45,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_46,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_47,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_48,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_49,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_50,Areias,1,,107_0_1_shp
10M,0,UTEIS,10M_0_U_1,Vila D'Este,1,,10M_0_1_shp
10M,1,UTEIS,10M_1_U_2,Aliados,1,,10M_1_1_shp
10M,0,UTEIS,10M_0_U_3,Vila D'Este,1,,10M_0_1_shp
10M,1,UTEIS,10M_1_U_4,Aliados,1,,10M_1_1_shp
10M,0,UTEIS,10M_0_U_5,Vila D'Este,1,,10M_0_1_shp
