service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ut2:2,1,1,1,1,1,0,1,20260101,20260831
ut5:VLC_A-U,1,1,1,1,1,0,0,20240101,20261231
ut3:E1,1,1,1,1,1,0,0,20260101,20261231
ut2:3,1,1,1,1,1,1,0,20260101,20260831
ut2:30,0,0,0,0,1,0,0,20260101,20260630
ut5:SMF_FE-U,1,1,1,1,1,0,0,20250901,20261231
ut2:8400,0,0,0,0,0,1,1,20260101,20260831
ut2:8300,0,0,0,0,0,1,1,20260101,20260831
ut2:42412,1,1,1,1,1,0,0,20260101,20260831
ut1:SE-AN,0,0,0,0,0,0,1,20251231,20251231
ut2:7,0,0,0,0,0,1,0,20260101,20260831
ut4:AS,0,0,0,0,0,1,0,20260101,20260831
ut2:36200,1,1,1,1,1,0,0,20260101,20260630
ut2:4300,1,1,1,1,1,0,0,20260101,20260831
ut2:12501,1,1,1,1,1,1,1,20260101,20260831
ut2:28246,1,1,0,1,1,0,0,20260101,20260630
ut2:4246,1,1,1,1,1,0,0,20260101,20260831
ut2:82412,0,0,0,0,0,1,1,20260101,20260831
ut2:8246,0,0,0,0,0,1,1,20260101,20260831
ut2:82501,0,0,0,0,0,1,1,20260101,20260831
ut2:12412,1,1,1,1,1,1,1,20260101,20260831
ut1:A-DF,0,0,0,0,0,0,1,20260101,20261231
ut2:15,1,1,1,1,1,0,0,20260101,20260630
ut2:5246,0,0,0,0,0,0,1,20260101,20260831
ut2:8,0,0,0,0,0,1,1,20260101,20260831
ut2:42431,1,1,1,1,1,0,0,20260101,20260831
ut2:36,1,1,1,1,1,0,0,20260101,20260630
ut2:12431,1,1,1,1,1,1,1,20260101,20260831
ut2:5,0,0,0,0,0,0,1,20260101,20260831
ut1:A-U,1,1,1,1,1,0,0,20260101,20261231
ut4:AU,1,1,1,1,1,0,0,20260101,20260831
ut2:7200,0,0,0,0,0,1,0,20260101,20260831
ut2:25,1,1,0,0,0,0,0,20260101,20260630
ut2:41,1,1,1,1,1,0,0,20260101,20260831
ut2:362412,1,1,1,1,1,0,0,20260101,20260630
ut5:FE-U,1,1,1,1,1,0,0,20240101,20261231
ut1:E-U,1,1,1,1,1,0,0,20260101,20261231
ut2:15246,1,1,1,1,1,0,0,20260101,20260630
ut2:72412,0,0,0,0,0,1,0,20260101,20260831
ut5:SMF_E-U,1,1,1,1,1,0,0,20250901,20261231
ut3:AS,0,0,0,0,0,1,0,20260101,20261231
ut2:36246,1,1,1,1,1,0,0,20260101,20260630
ut2:4,1,1,1,1,1,0,0,20260101,20260831
ut5:A-DFXPN,0,0,0,0,0,0,1,20240101,20261231
ut2:5400,0,0,0,0,0,0,1,20260101,20260831
ut2:2_15,1,1,1,1,1,0,0,20260101,20260120
ut3:AD,0,0,0,0,0,0,1,20260101,20261231
ut5:A-S,0,0,0,0,0,1,0,20240101,20261231
ut2:3246,1,1,1,1,1,1,0,20260101,20260831
ut5:VLC_E-U,1,1,1,1,1,0,0,20240101,20261231
ut2:4200,1,1,1,1,1,0,0,20260101,20260831
ut2:1,1,1,1,1,1,1,1,20260101,20260831
ut2:28,1,1,0,1,1,0,0,20260101,20260630
ut2:52501,0,0,0,0,0,0,1,20260101,20260831
ut1:A-S,0,0,0,0,0,1,0,20260101,20261231
ut2:3112,1,1,1,1,1,0,0,20251230,20251231
ut4:AD,0,0,0,0,0,0,1,20260101,20260831
ut2:7300,0,0,0,0,0,1,0,20260101,20260831
ut2:3200,1,1,1,1,1,1,0,20260101,20260831
ut2:21,0,0,1,0,0,0,0,20260101,20260630
ut5:E-U,1,1,1,1,1,0,0,20240101,20261231
ut3:FAU,1,1,1,1,1,0,0,20260101,20261231
ut2:7246,0,0,0,0,0,1,0,20260101,20260831
ut3:AU,1,1,1,1,1,0,0,20260101,20261231
ut2:362431,1,1,1,1,1,0,0,20260101,20260630
ut2:8200,0,0,0,0,0,1,1,20260101,20260831
ut5:A-U,1,1,1,1,1,0,0,20240101,20261231
ut2:412412,1,1,1,1,1,0,0,20260101,20260831
ut2:51,1,1,1,1,1,0,0,20260101,20260831
