route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
ln:1001:0,unir,1001,"Arouca (CCT) - Cabeçais (via Tropeço)","Linha base 1001 da Unidade Territorial UT5",3,de5b35
ln:1002:0,unir,1002,"Arouca (CCT) - Lourosa/Fiães (Interface)","Linha base 1002 da Unidade Territorial UT5",3,de5b35
ln:1002:1,unir,1002,"Arouca CCT - Escariz (Polo Escolar)","Linha parcelar de  1002 da Unidade Territorial UT5",3,de5b35
ln:1003:0,unir,1003,"Arouca (CCT) - S. João da Madeira (CCT) (via Escariz)","Linha base 1003 da Unidade Territorial UT5",3,de5b35
ln:1004:0,unir,1004,"Arouca (CCT) - Parque das Camélias (pela A32)","Linha base 1004 da Unidade Territorial UT5",3,de5b35
ln:1005:0,unir,1005,"Arouca (Chão de Ave) - Escariz (EBS) (via Agras)","Linha base 1005 da Unidade Territorial UT5",3,de5b35
ln:1006:0,unir,1006,"Carregosa - Arouca (Mosteirô) (via Cesar)","Linha base 1006 da Unidade Territorial UT5",3,de5b35
ln:1006:1,unir,1006,"Mergulhão - Mosteirô (Capela)","Linha parcelar de  1006 da Unidade Territorial UT5",3,de5b35
ln:1007:0,unir,1007,"Arouca (CCT) -  S. João da Madeira (CCT) (via Carregosa)","Linha base 1007 da Unidade Territorial UT5",3,de5b35
ln:1007:1,unir,1007,"Arouca CCT - Chão D'Ave","Linha parcelar de  1007 da Unidade Territorial UT5",3,de5b35
ln:1008:0,unir,1008,"Arouca (CCT) - Noninha","Linha base 1008 da Unidade Territorial UT5",3,de5b35
ln:1009:0,unir,1009,"Arouca (CCT) - Arouca (Canelas) (via Vila Cova)","Linha base 1009 da Unidade Territorial UT5",3,de5b35
ln:1010:0,unir,1010,"Arouca (CCT) - Vila Viçosa","Linha base 1010 da Unidade Territorial UT5",3,de5b35
ln:1011:0,unir,1011,"Fuste - Arouca (CCT)","Linha base 1011 da Unidade Territorial UT5",3,de5b35
ln:1012:0,unir,1012,"Rio de Frades - Arouca (CCT)","Linha base 1012 da Unidade Territorial UT5",3,de5b35
ln:1013:0,unir,1013,"Albergaria da Serra - Arouca (CCT)","Linha base 1013 da Unidade Territorial UT5",3,de5b35
ln:1015:0,unir,1015,"Cela - São João da Madeira (CCT)","Linha base 1015 da Unidade Territorial UT5",3,de5b35
ln:1016:0,unir,1016,"Arouca (CCT) - Vale de Cambra (CCT)","Linha base 1016 da Unidade Territorial UT5",3,de5b35
ln:1019:0,unir,1019,"Regoufe - Arouca (CCT) (por Covêlo de Paivó)","Linha base 1019 da Unidade Territorial UT5",3,de5b35
ln:1020:0,unir,1020,"Rossio (Zona Industrial) - Escariz (EBS)","Linha base 1020 da Unidade Territorial UT5",3,de5b35
ln:1021:0,unir,1021,"Arouca (CCT) - Cabeçais (via Rossas)","Linha base 1021 da Unidade Territorial UT5",3,de5b35
ln:1022:0,unir,1022,"Arouca (CCT) - Campanhã (Estação) (pela A32)","Linha base 1022 da Unidade Territorial UT5",3,de5b35
ln:1023:0,unir,1023,"Arouca (CCT) - S. João da Madeira (CCT) (pela variante à EN326)","Linha base 1023 da Unidade Territorial UT5",3,de5b35
ln:1024:0,unir,1024,"Monte Moção - Arouca (CCT)","Linha base 1024 da Unidade Territorial UT5",3,de5b35
ln:1024:v1,unir,1024,"Arouca (Rua das Flores) - Arouca (CCT)","Linha base 1024 da Unidade Territorial UT5",3,de5b35
ln:1025:0,unir,1025,"Londral - Escariz (EBS) (via Carvalhal Redondo)","Linha base 1025 da Unidade Territorial UT5",3,de5b35
ln:1201:0,unir,1201,"O. Azeméis (Esc. Dr. Ferreira da Silva) - Ul (Igreja) (via São Roque)","Linha base 1201 da Unidade Territorial UT5",3,de5b35
ln:1202:0,unir,1202,"O. Azeméis (Graciosa) - Loureiro (Escola)","Linha base 1202 da Unidade Territorial UT5",3,de5b35
ln:1203:0,unir,1203,"São João da Madeira (CCT) - Ovar (Estação) (pela N327)","Linha base 1203 da Unidade Territorial UT5",3,de5b35
