route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
ln:1001:0,ut5:A-U,A-U:1001:0:1:1230,"Cabeçais (via Tropeço)",1001,0,rt:1001:0:1
ln:1001:0,ut5:A-U,A-U:1001:0:1:0745,"Cabeçais (via Tropeço)",1001,0,rt:1001:0:1
ln:1001:0,ut5:A-U,A-U:1001:0:1:1815,"Cabeçais (via Tropeço)",1001,0,rt:1001:0:1
ln:1001:0,ut5:A-U,A-U:1001:0:1:1330,"Cabeçais (via Tropeço)",1001,0,rt:1001:0:1
ln:1001:0,ut5:A-U,A-U:1001:0:1:1710,"Cabeçais (via Tropeço)",1001,0,rt:1001:0:1
ln:1001:0,ut5:E-U,E-U:1001:0:1:1055,"Cabeçais (via Tropeço)",1001,0,rt:1001:0:1
ln:1001:0,ut5:A-U,A-U:1001:0:2:1330,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1001:0,ut5:A-U,A-U:1001:0:2:1230,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1001:0,ut5:A-U,A-U:1001:0:2:1800,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1001:0,ut5:A-U,A-U:1001:0:2:0700,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1001:0,ut5:E-U,E-U:1001:0:2:0805,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1001:0,ut5:E-U,E-U:1001:0:2:1445,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1001:0,ut5:FE-U,FE-U:1001:0:2:1600,"Arouca (CCT) (via Tropeço)",1001,1,rt:1001:0:2
ln:1002:0,ut5:A-DFXPN,A-DFXPN:1002:0:1:0800,"Lourosa/Fiães (Interface)",1002,0,rt:1002:0:1
ln:1002:0,ut5:A-S,A-S:1002:0:1:0830,"Lourosa/Fiães (Interface)",1002,0,rt:1002:0:1
ln:1002:0,ut5:A-U,A-U:1002:0:1:1530,"Lourosa/Fiães (Interface)",1002,0,rt:1002:0:1
ln:1002:0,ut5:A-U,A-U:1002:0:1:0730,"Lourosa/Fiães (Interface)",1002,0,rt:1002:0:1
ln:1002:0,ut5:A-U,A-U:1002:0:1:1000,"Lourosa/Fiães (Interface)",1002,0,rt:1002:0:1
ln:1002:0,ut5:E-U,E-U:1002:0:1:0900,"Lourosa/Fiães (Interface)",1002,0,rt:1002:0:1
ln:1002:0,ut5:A-DFXPN,A-DFXPN:1002:0:2:1815,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:0,ut5:A-S,A-S:1002:0:2:1500,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:0,ut5:A-U,A-U:1002:0:2:0900,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:0,ut5:A-U,A-U:1002:0:2:1415,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:0,ut5:A-U,A-U:1002:0:2:1740,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:0,ut5:E-U,E-U:1002:0:2:1005,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:0,ut5:E-U,E-U:1002:0:2:1640,"Arouca (CCT)",1002,1,rt:1002:0:2
ln:1002:1,ut5:E-U,E-U:1002:1:2:1900,"Arouca CCT",1002,1,rt:1002:1:2
ln:1003:0,ut5:A-U,A-U:1003:0:1:0635,"S. João da Madeira (CCT) (via Escariz)",1003,0,rt:1003:0:1
ln:1003:0,ut5:A-U,A-U:1003:0:2:1800,"Arouca (CCT)  (via Escariz)",1003,1,rt:1003:0:2
ln:1004:0,ut5:A-U,A-U:1004:0:1:0800,"Parque das Camélias",1004,0,rt:1004:0:1
ln:1004:0,ut5:FE-U,FE-U:1004:0:1:1500,"Parque das Camélias",1004,0,rt:1004:0:1
ln:1004:0,ut5:A-U,A-U:1004:0:2:1630,"Arouca (CCT)",1004,1,rt:1004:0:2
ln:1004:0,ut5:FE-U,FE-U:1004:0:2:0930,"Arouca (CCT)",1004,1,rt:1004:0:2
ln:1005:0,ut5:E-U,E-U:1005:0:1:1230,"Escariz (EBS) (via Agras)",1005,0,rt:1005:0:1
ln:1005:0,ut5:E-U,E-U:1005:0:1:0705,"Escariz (EBS) (via Agras)",1005,0,rt:1005:0:1
ln:1005:0,ut5:E-U,E-U:1005:0:2:1745,"Arouca (Chão de Ave) (via Agras)",1005,1,rt:1005:0:2
ln:1005:0,ut5:E-U,E-U:1005:0:2:1330,"Arouca (Chão de Ave) (via Agras)",1005,1,rt:1005:0:2
ln:1006:0,ut5:A-U,A-U:1006:0:1:1820,"Arouca (Mosteirô) (via Cesar)",1006,0,rt:1006:0:1
ln:1006:0,ut5:E-U,E-U:1006:0:1:1330,"Arouca (Mosteirô) (via Cesar)",1006,0,rt:1006:0:1
ln:1006:0,ut5:E-U,E-U:1006:0:2:1240,"Carregosa (via Cesar)",1006,1,rt:1006:0:2
ln:1006:1,ut5:A-U,A-U:1006:1:2:0640,"Mergulhão",1006,1,rt:1006:1:2
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:1:0900,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:1:1000,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:1:1330,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:1:1800,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-S,A-S:1007:0:1:1000,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-S,A-S:1007:0:1:1150,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-S,A-S:1007:0:1:1600,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-S,A-S:1007:0:1:1630,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-S,A-S:1007:0:1:0800,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-U,A-U:1007:0:1:0700,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-U,A-U:1007:0:1:0615,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-U,A-U:1007:0:1:0800,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-U,A-U:1007:0:1:1800,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-U,A-U:1007:0:1:1600,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-U,A-U:1007:0:1:1900,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:E-U,E-U:1007:0:1:1000,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:E-U,E-U:1007:0:1:1400,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:E-U,E-U:1007:0:1:0830,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:E-U,E-U:1007:0:1:0900,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:E-U,E-U:1007:0:1:1200,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:FE-U,FE-U:1007:0:1:0930,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:FE-U,FE-U:1007:0:1:1300,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:FE-U,FE-U:1007:0:1:1500,"S. João da Madeira (CCT) (via Carregosa)",1007,0,rt:1007:0:1
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:2:1130,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:2:1230,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:2:1700,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-DFXPN,A-DFXPN:1007:0:2:1900,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-S,A-S:1007:0:2:1100,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-S,A-S:1007:0:2:1700,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-S,A-S:1007:0:2:1800,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-S,A-S:1007:0:2:0730,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-S,A-S:1007:0:2:0900,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:0700,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:1200,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:0730,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:1300,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:1600,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:1900,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:A-U,A-U:1007:0:2:1700,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:E-U,E-U:1007:0:2:1100,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:E-U,E-U:1007:0:2:1500,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:E-U,E-U:1007:0:2:2000,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:E-U,E-U:1007:0:2:1000,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
ln:1007:0,ut5:FE-U,FE-U:1007:0:2:1400,"Arouca (CCT) (via Carregosa)",1007,1,rt:1007:0:2
